pub_id,author_s,year,article,journal,volume,pages,country,continent,animal,stage_life_m,lifespan_m,norm_age,bw_mean_kg,bw_sd_kg,sex,lactating,exp_id,model,study_id,treatment,potential_exposure_day,pfos_plasma_mean,pfos_plasma_sd,pfos_plasma_units,pfos_plasma_ns,pfos_liver_mean,pfos_liver_sd,pfos_liver_units,pfos_liver_ns,feed_intake_mean ,feed_intake_units,water_intake_mean,water_intake_units,pfos_exposure_level_mean,pfos_exposure_level_sd,pfos_exposure_level_units
1,Kowalczyk et al.,2012,Transfer of pefluorooctanoic acid(PFOA) and perfluorooctane sulfonate (PFOS) from contaminates feed into milk and meat of sheep pilot study,Archives of Environmental Contamination and Toxicology,63,288-298,Germany,EU,Sheep,NA,273.6,NA,63,2.3,IF,Y,1,FIX,1,CLANEP,0,2.00E-04,0.00015,ug/mL,12,0.00153,NA,ug/g,1,1.672,kg/d,11.36,L/d,0.000025,NA,ug/kg/bw/d
1,Kowalczyk et al.,2012,Transfer of pefluorooctanoic acid(PFOA) and perfluorooctane sulfonate (PFOS) from contaminates feed into milk and meat of sheep pilot study,Archives of Environmental Contamination and Toxicology,63,288-299,Germany,EU,Sheep,NA,273.6,NA,63,2.3,IF,Y,1,FIX,1,CLAEP,21,0.0379,0.0311,ug/mL,12,1.172,NA,ug/g,1,1.248,kg/d,11.36,L/d,1.16,NA,ug/kg/bw/d
1,Kowalczyk et al.,2012,Transfer of pefluorooctanoic acid(PFOA) and perfluorooctane sulfonate (PFOS) from contaminates feed into milk and meat of sheep pilot study,Archives of Environmental Contamination and Toxicology,63,288-298,Germany,EU,Sheep,NA,273.6,NA,63,2.3,IF,Y,1,FIX,1,CLAEP,21,0.168,0.00015,ug/mL,12,0.885,NA,ug/g,1,1.568,kg/d,11.36,L/d,1.45,NA,ug/kg/bw/d
1,Kowalczyk et al.,2012,Transfer of pefluorooctanoic acid(PFOA) and perfluorooctane sulfonate (PFOS) from contaminates feed into milk and meat of sheep pilot study,Archives of Environmental Contamination and Toxicology,63,288-298,Germany,EU,Sheep,NA,273.6,NA,63,2.3,IF,Y,1,FIX,1,CLAEP,21,0.24,0.00015,ug/mL,12,1.172,NA,ug/g,1,1.248,kg/d,11.36,L/d,7.6,3.2,ug/kg bw/d
2,Kowalczyk et al.,2013,"Absorption, Distribution, and Milk Secretion of the Perfluoroalkyl Acids PFBS, PFHxS, PFOS, and PFOA by Dairy Cows Fed Naturally Contaminated Feed",Journal of Agricultural and Food Chemistry,61,2903-2912,Germany,EU,Cattle,NA,240,NA,583,31,IF,Y,1,FIX,2,CLAEP,0.5,7.00E-04,NA,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Kowalczyk et al.,2013,"Absorption, Distribution, and Milk Secretion of the Perfluoroalkyl Acids PFBS, PFHxS, PFOS, and PFOA by Dairy Cows Fed Naturally Contaminated Feed",Journal of Agricultural and Food Chemistry,61,2903-2912,Germany,EU,Cattle,NA,240,NA,583,31,IF,Y,1,FIX,2,CLAEP,1,0.0034,NA,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Kowalczyk et al.,2013,"Absorption, Distribution, and Milk Secretion of the Perfluoroalkyl Acids PFBS, PFHxS, PFOS, and PFOA by Dairy Cows Fed Naturally Contaminated Feed",Journal of Agricultural and Food Chemistry,61,2903-2912,Germany,EU,Cattle,NA,240,NA,583,31,IF,Y,1,FIX,2,CLAEP,4,0.102,NA,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Kowalczyk et al.,2013,"Absorption, Distribution, and Milk Secretion of the Perfluoroalkyl Acids PFBS, PFHxS, PFOS, and PFOA by Dairy Cows Fed Naturally Contaminated Feed",Journal of Agricultural and Food Chemistry,61,2903-2912,Germany,EU,Cattle,NA,240,NA,583,31,IF,Y,1,FIX,2,CLAEP,7,0.03,NA,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Kowalczyk et al.,2013,"Absorption, Distribution, and Milk Secretion of the Perfluoroalkyl Acids PFBS, PFHxS, PFOS, and PFOA by Dairy Cows Fed Naturally Contaminated Feed",Journal of Agricultural and Food Chemistry,61,2903-2912,Germany,EU,Cattle,NA,240,NA,583,31,IF,Y,1,FIX,2,CLAEP,10,0.414,NA,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Kowalczyk et al.,2013,"Absorption, Distribution, and Milk Secretion of the Perfluoroalkyl Acids PFBS, PFHxS, PFOS, and PFOA by Dairy Cows Fed Naturally Contaminated Feed",Journal of Agricultural and Food Chemistry,61,2903-2912,Germany,EU,Cattle,NA,240,NA,583,31,IF,Y,1,FIX,2,CLAEP,15,0.935,NA,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Kowalczyk et al.,2013,"Absorption, Distribution, and Milk Secretion of the Perfluoroalkyl Acids PFBS, PFHxS, PFOS, and PFOA by Dairy Cows Fed Naturally Contaminated Feed",Journal of Agricultural and Food Chemistry,61,2903-2912,Germany,EU,Cattle,NA,240,NA,583,31,IF,Y,1,FIX,2,CLAEP,20,1.64,NA,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Kowalczyk et al.,2013,"Absorption, Distribution, and Milk Secretion of the Perfluoroalkyl Acids PFBS, PFHxS, PFOS, and PFOA by Dairy Cows Fed Naturally Contaminated Feed",Journal of Agricultural and Food Chemistry,61,2903-2912,Germany,EU,Cattle,NA,240,NA,583,31,IF,Y,1,FIX,2,CLAEP,25,1.948,NA,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Kowalczyk et al.,2013,"Absorption, Distribution, and Milk Secretion of the Perfluoroalkyl Acids PFBS, PFHxS, PFOS, and PFOA by Dairy Cows Fed Naturally Contaminated Feed",Journal of Agricultural and Food Chemistry,61,2903-2912,Germany,EU,Cattle,NA,240,NA,583,31,IF,Y,1,FIX,2,CLAEP,29,2.345,NA,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Kowalczyk et al.,2013,"Absorption, Distribution, and Milk Secretion of the Perfluoroalkyl Acids PFBS, PFHxS, PFOS, and PFOA by Dairy Cows Fed Naturally Contaminated Feed",Journal of Agricultural and Food Chemistry,61,2903-2912,Germany,EU,Cattle,NA,240,NA,583,31,IF,Y,1,FIX,2,CLAEP,0.5,7.00E-04,NA,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Kowalczyk et al.,2013,"Absorption, Distribution, and Milk Secretion of the Perfluoroalkyl Acids PFBS, PFHxS, PFOS, and PFOA by Dairy Cows Fed Naturally Contaminated Feed",Journal of Agricultural and Food Chemistry,61,2903-2912,Germany,EU,Cattle,NA,240,NA,583,31,IF,Y,1,FIX,2,CLAEP,1,4.00E-04,NA,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Kowalczyk et al.,2013,"Absorption, Distribution, and Milk Secretion of the Perfluoroalkyl Acids PFBS, PFHxS, PFOS, and PFOA by Dairy Cows Fed Naturally Contaminated Feed",Journal of Agricultural and Food Chemistry,61,2903-2912,Germany,EU,Cattle,NA,240,NA,583,31,IF,Y,1,FIX,2,CLAEP,4,0.089,NA,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Kowalczyk et al.,2013,"Absorption, Distribution, and Milk Secretion of the Perfluoroalkyl Acids PFBS, PFHxS, PFOS, and PFOA by Dairy Cows Fed Naturally Contaminated Feed",Journal of Agricultural and Food Chemistry,61,2903-2912,Germany,EU,Cattle,NA,240,NA,583,31,IF,Y,1,FIX,2,CLAEP,7,0.195,NA,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Kowalczyk et al.,2013,"Absorption, Distribution, and Milk Secretion of the Perfluoroalkyl Acids PFBS, PFHxS, PFOS, and PFOA by Dairy Cows Fed Naturally Contaminated Feed",Journal of Agricultural and Food Chemistry,61,2903-2912,Germany,EU,Cattle,NA,240,NA,583,31,IF,Y,1,FIX,2,CLAEP,10,0.28,NA,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Kowalczyk et al.,2013,"Absorption, Distribution, and Milk Secretion of the Perfluoroalkyl Acids PFBS, PFHxS, PFOS, and PFOA by Dairy Cows Fed Naturally Contaminated Feed",Journal of Agricultural and Food Chemistry,61,2903-2912,Germany,EU,Cattle,NA,240,NA,583,31,IF,Y,1,FIX,2,CLAEP,15,0.61,NA,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Kowalczyk et al.,2013,"Absorption, Distribution, and Milk Secretion of the Perfluoroalkyl Acids PFBS, PFHxS, PFOS, and PFOA by Dairy Cows Fed Naturally Contaminated Feed",Journal of Agricultural and Food Chemistry,61,2903-2912,Germany,EU,Cattle,NA,240,NA,583,31,IF,Y,1,FIX,2,CLAEP,20,0.096,NA,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Kowalczyk et al.,2013,"Absorption, Distribution, and Milk Secretion of the Perfluoroalkyl Acids PFBS, PFHxS, PFOS, and PFOA by Dairy Cows Fed Naturally Contaminated Feed",Journal of Agricultural and Food Chemistry,61,2903-2912,Germany,EU,Cattle,NA,240,NA,583,31,IF,Y,1,FIX,2,CLAEP,25,1.5,NA,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Kowalczyk et al.,2013,"Absorption, Distribution, and Milk Secretion of the Perfluoroalkyl Acids PFBS, PFHxS, PFOS, and PFOA by Dairy Cows Fed Naturally Contaminated Feed",Journal of Agricultural and Food Chemistry,61,2903-2912,Germany,EU,Cattle,NA,240,NA,583,31,IF,Y,1,FIX,2,CLAEP,29,0.15,NA,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Kowalczyk et al.,2013,"Absorption, Distribution, and Milk Secretion of the Perfluoroalkyl Acids PFBS, PFHxS, PFOS, and PFOA by Dairy Cows Fed Naturally Contaminated Feed",Journal of Agricultural and Food Chemistry,61,2903-2912,Germany,EU,Cattle,NA,240,NA,583,31,IF,Y,1,FIX,2,CLAEP,0.5,5.00E-04,NA,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Kowalczyk et al.,2013,"Absorption, Distribution, and Milk Secretion of the Perfluoroalkyl Acids PFBS, PFHxS, PFOS, and PFOA by Dairy Cows Fed Naturally Contaminated Feed",Journal of Agricultural and Food Chemistry,61,2903-2912,Germany,EU,Cattle,NA,240,NA,583,31,IF,Y,1,FIX,2,CLAEP,1,5.00E-04,NA,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Kowalczyk et al.,2013,"Absorption, Distribution, and Milk Secretion of the Perfluoroalkyl Acids PFBS, PFHxS, PFOS, and PFOA by Dairy Cows Fed Naturally Contaminated Feed",Journal of Agricultural and Food Chemistry,61,2903-2912,Germany,EU,Cattle,NA,240,NA,583,31,IF,Y,1,FIX,2,CLAEP,4,0.067,NA,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Kowalczyk et al.,2013,"Absorption, Distribution, and Milk Secretion of the Perfluoroalkyl Acids PFBS, PFHxS, PFOS, and PFOA by Dairy Cows Fed Naturally Contaminated Feed",Journal of Agricultural and Food Chemistry,61,2903-2912,Germany,EU,Cattle,NA,240,NA,583,31,IF,Y,1,FIX,2,CLAEP,7,0.129,NA,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Kowalczyk et al.,2013,"Absorption, Distribution, and Milk Secretion of the Perfluoroalkyl Acids PFBS, PFHxS, PFOS, and PFOA by Dairy Cows Fed Naturally Contaminated Feed",Journal of Agricultural and Food Chemistry,61,2903-2912,Germany,EU,Cattle,NA,240,NA,583,31,IF,Y,1,FIX,2,CLAEP,10,0.171,NA,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Kowalczyk et al.,2013,"Absorption, Distribution, and Milk Secretion of the Perfluoroalkyl Acids PFBS, PFHxS, PFOS, and PFOA by Dairy Cows Fed Naturally Contaminated Feed",Journal of Agricultural and Food Chemistry,61,2903-2912,Germany,EU,Cattle,NA,240,NA,583,31,IF,Y,1,FIX,2,CLAEP,15,0.448,NA,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Kowalczyk et al.,2013,"Absorption, Distribution, and Milk Secretion of the Perfluoroalkyl Acids PFBS, PFHxS, PFOS, and PFOA by Dairy Cows Fed Naturally Contaminated Feed",Journal of Agricultural and Food Chemistry,61,2903-2912,Germany,EU,Cattle,NA,240,NA,583,31,IF,Y,1,FIX,2,CLAEP,20,0.704,NA,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Kowalczyk et al.,2013,"Absorption, Distribution, and Milk Secretion of the Perfluoroalkyl Acids PFBS, PFHxS, PFOS, and PFOA by Dairy Cows Fed Naturally Contaminated Feed",Journal of Agricultural and Food Chemistry,61,2903-2912,Germany,EU,Cattle,NA,240,NA,583,31,IF,Y,1,FIX,2,CLAEP,25,0.976,NA,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Kowalczyk et al.,2013,"Absorption, Distribution, and Milk Secretion of the Perfluoroalkyl Acids PFBS, PFHxS, PFOS, and PFOA by Dairy Cows Fed Naturally Contaminated Feed",Journal of Agricultural and Food Chemistry,61,2903-2912,Germany,EU,Cattle,NA,240,NA,583,31,IF,Y,1,FIX,2,CLAEP,29,1.306,NA,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Kowalczyk et al.,2013,"Absorption, Distribution, and Milk Secretion of the Perfluoroalkyl Acids PFBS, PFHxS, PFOS, and PFOA by Dairy Cows Fed Naturally Contaminated Feed",Journal of Agricultural and Food Chemistry,61,2903-2912,Germany,EU,Cattle,NA,240,NA,583,31,IF,Y,1,FIX,2,CLAEP,0.5,6.00E-04,NA,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Kowalczyk et al.,2013,"Absorption, Distribution, and Milk Secretion of the Perfluoroalkyl Acids PFBS, PFHxS, PFOS, and PFOA by Dairy Cows Fed Naturally Contaminated Feed",Journal of Agricultural and Food Chemistry,61,2903-2912,Germany,EU,Cattle,NA,240,NA,583,31,IF,Y,1,FIX,2,CLAEP,1,4.00E-04,NA,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Kowalczyk et al.,2013,"Absorption, Distribution, and Milk Secretion of the Perfluoroalkyl Acids PFBS, PFHxS, PFOS, and PFOA by Dairy Cows Fed Naturally Contaminated Feed",Journal of Agricultural and Food Chemistry,61,2903-2912,Germany,EU,Cattle,NA,240,NA,583,31,IF,Y,1,FIX,2,CLAEP,4,0.106,NA,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Kowalczyk et al.,2013,"Absorption, Distribution, and Milk Secretion of the Perfluoroalkyl Acids PFBS, PFHxS, PFOS, and PFOA by Dairy Cows Fed Naturally Contaminated Feed",Journal of Agricultural and Food Chemistry,61,2903-2912,Germany,EU,Cattle,NA,240,NA,583,31,IF,Y,1,FIX,2,CLAEP,7,0.269,NA,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Kowalczyk et al.,2013,"Absorption, Distribution, and Milk Secretion of the Perfluoroalkyl Acids PFBS, PFHxS, PFOS, and PFOA by Dairy Cows Fed Naturally Contaminated Feed",Journal of Agricultural and Food Chemistry,61,2903-2912,Germany,EU,Cattle,NA,240,NA,583,31,IF,Y,1,FIX,2,CLAEP,10,0.383,NA,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Kowalczyk et al.,2013,"Absorption, Distribution, and Milk Secretion of the Perfluoroalkyl Acids PFBS, PFHxS, PFOS, and PFOA by Dairy Cows Fed Naturally Contaminated Feed",Journal of Agricultural and Food Chemistry,61,2903-2912,Germany,EU,Cattle,NA,240,NA,583,31,IF,Y,1,FIX,2,CLAEP,15,0.864,NA,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Kowalczyk et al.,2013,"Absorption, Distribution, and Milk Secretion of the Perfluoroalkyl Acids PFBS, PFHxS, PFOS, and PFOA by Dairy Cows Fed Naturally Contaminated Feed",Journal of Agricultural and Food Chemistry,61,2903-2912,Germany,EU,Cattle,NA,240,NA,583,31,IF,Y,1,FIX,2,CLAEP,20,1.227,NA,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
