pub_id,country,continent,animal,stage_life_m,lifespan_m,norm_age,bw_mean_kg,bw_sd_kg,sex,lactating,exp_id,model,study_id,treatment,potential_exposure_day,pfos_plasma_mean,pfos_plasma_sd,pfos_plasma_units,pfos_plasma_ns,pfos_liver_mean,pfos_liver_sd,pfos_liver_units,pfos_liver_ns,feed_intake_mean,feed_intake_units,water_intake_mean,water_intake_units,pfos_exposure_level_mean,pfos_exposure_level_sd,pfos_exposure_level_units
1,Germany,EU,Sheep,.,273.6,.,63,2.3,IF,Y,1,FIX,1,CLAEP,21,0.24,0.00015,ug/mL,12,1.172,.,ug/g,1,1.248,kg/d,11.36,L/d,7.6,3.2,ug/kg bw/d
1,Germany,EU,Sheep,.,273.6,.,63,2.3,IF,Y,1,FIX,1,CLAEP,21,0.168,0.00015,ug/mL,12,0.885,.,ug/g,1,1.568,kg/d,11.36,L/d,1.45,.,ug/kg/bw/d
1,Germany,EU,Sheep,.,273.6,.,63,2.3,IF,Y,1,FIX,1,CLAEP,21,0.0379,0.0311,ug/mL,12,1.172,.,ug/g,1,1.248,kg/d,11.36,L/d,1.16,.,ug/kg/bw/d
1,Germany,EU,Sheep,.,273.6,.,63,2.3,IF,Y,1,FIX,1,CLANEP,0,2.00E-04,0.00015,ug/mL,12,0.00153,.,ug/g,1,1.672,kg/d,11.36,L/d,0.000025,.,ug/kg/bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CONNE,44,2.933,.,ug/mL,1,3.964,1.035,ug/g,3,10.3,kg/d,145.75,L/d,0.000025,.,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CONNE,38,2.888,.,ug/mL,1,3.964,1.035,ug/g,3,10.3,kg/d,145.75,L/d,0.000025,.,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CONNE,41,2.723,.,ug/mL,1,3.964,1.035,ug/g,3,10.3,kg/d,145.75,L/d,0.000025,.,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CONNE,35,2.576,.,ug/mL,1,3.964,1.035,ug/g,3,10.3,kg/d,145.75,L/d,0.000025,.,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CONNE,29,2.569,.,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,0.000025,.,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CONNE,35,2.551,.,ug/mL,1,3.964,1.035,ug/g,3,10.3,kg/d,145.75,L/d,0.000025,.,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CONNE,47,2.484,.,ug/mL,1,3.964,1.035,ug/g,3,10.3,kg/d,145.75,L/d,0.000025,.,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CONNE,32,2.357,.,ug/mL,1,3.964,1.035,ug/g,3,10.3,kg/d,145.75,L/d,0.000025,.,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CLAEP,29,2.345,.,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CONNE,38,2.325,.,ug/mL,1,3.964,1.035,ug/g,3,10.3,kg/d,145.75,L/d,0.000025,.,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CONNE,50,2.32,.,ug/mL,1,3.964,1.035,ug/g,3,10.3,kg/d,145.75,L/d,0.000025,.,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CONNE,41,2.29,.,ug/mL,1,3.964,1.035,ug/g,3,10.3,kg/d,145.75,L/d,0.000025,.,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CONNE,32,2.199,.,ug/mL,1,3.964,1.035,ug/g,3,10.3,kg/d,145.75,L/d,0.000025,.,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CLAEP,29,2.178,.,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CONNE,44,2.169,.,ug/mL,1,3.964,1.035,ug/g,3,10.3,kg/d,145.75,L/d,0.000025,.,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CONNE,44,1.954,.,ug/mL,1,3.964,1.035,ug/g,3,10.3,kg/d,145.75,L/d,0.000025,.,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CLAEP,25,1.948,.,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CONNE,47,1.944,.,ug/mL,1,3.964,1.035,ug/g,3,10.3,kg/d,145.75,L/d,0.000025,.,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CONNE,47,1.927,.,ug/mL,1,3.964,1.035,ug/g,3,10.3,kg/d,145.75,L/d,0.000025,.,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CONNE,50,1.927,.,ug/mL,1,3.964,1.035,ug/g,3,10.3,kg/d,145.75,L/d,0.000025,.,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CONNE,35,1.927,.,ug/mL,1,3.964,1.035,ug/g,3,10.3,kg/d,145.75,L/d,0.000025,.,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CONNE,32,1.862,.,ug/mL,1,3.964,1.035,ug/g,3,10.3,kg/d,145.75,L/d,0.000025,.,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CONNE,50,1.838,.,ug/mL,1,3.964,1.035,ug/g,3,10.3,kg/d,145.75,L/d,0.000025,.,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CLAEP,25,1.829,.,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
