"pub_id","author_s","year","article","journal","volume","pages","country","continent","animal","breed","stage_life_m","lifespan_m","norm_age","bw_mean_kg","bw_sd_kg","sex","lactating","article_id","model","exp_id","treatment","potential_exposure_day","pfos_plasma_mean","pfos_plasma_sd","pfos_plasma_units","pfos_plasma_ns"
1,"Kowalczyk et. al",2012,"Transfer of pefluorooctanoic acid(PFOA) and perfluorooctane sulfonate (PFOS) from contaminates feed into milk and meat of sheep pilot study","Archives of Environmental Contamination and Toxicology",63,"288-298","Germany","EU","Sheep","East_Friesian",NA,273.6,NA,63,2.3,"IF","Y",1,"FIX",1,"CLANE",0,2e-04,0.00015,"ug/mL",12
1,"Kowalczyk et. al",2012,"Transfer of pefluorooctanoic acid(PFOA) and perfluorooctane sulfonate (PFOS) from contaminates feed into milk and meat of sheep pilot study","Archives of Environmental Contamination and Toxicology",63,"288-299","Germany","EU","Sheep","East_Friesian",NA,273.6,NA,63,2.3,"IF","Y",1,"FIX",2,"CLAEP",21,0.0379,0.0311,"ug/mL",12
1,"Kowalczyk et. al",2012,"Transfer of pefluorooctanoic acid(PFOA) and perfluorooctane sulfonate (PFOS) from contaminates feed into milk and meat of sheep pilot study","Archives of Environmental Contamination and Toxicology",63,"288-298","Germany","EU","Sheep","East_Friesian",NA,273.6,NA,63,2.3,"IF","Y",1,"FIX",3,"CLAEP",21,0.168,0.00015,"ug/mL",12
1,"Kowalczyk et. al",2012,"Transfer of pefluorooctanoic acid(PFOA) and perfluorooctane sulfonate (PFOS) from contaminates feed into milk and meat of sheep pilot study","Archives of Environmental Contamination and Toxicology",63,"288-298","Germany","EU","Sheep","East_Friesian",NA,273.6,NA,63,2.3,"IF","Y",1,"FIX",2,"CLAEP",21,0.24,0.00015,"ug/mL",12
2,"Kowalczyk et. al",2013,"Absorption, Distribution, and Milk Secretion of the Perfluoroalkyl Acids PFBS, PFHxS, PFOS, and PFOA by Dairy Cows Fed Naturally Contaminated Feed","Journal of Agricultural and Food Chemistry",61,"2903-2912","Germany","EU","Cattle","Holstein",NA,240,NA,583,31,"IF","Y",2,"FIX",1,"CLANE",0,7e-04,NA,"ug/mL",1
2,"Kowalczyk et. al",2013,"Absorption, Distribution, and Milk Secretion of the Perfluoroalkyl Acids PFBS, PFHxS, PFOS, and PFOA by Dairy Cows Fed Naturally Contaminated Feed","Journal of Agricultural and Food Chemistry",61,"2903-2912","Germany","EU","Cattle","Holstein",NA,240,NA,583,31,"IF","Y",2,"FIX",2,"CAEP",1,0.0034,NA,"ug/mL",1
2,"Kowalczyk et. al",2013,"Absorption, Distribution, and Milk Secretion of the Perfluoroalkyl Acids PFBS, PFHxS, PFOS, and PFOA by Dairy Cows Fed Naturally Contaminated Feed","Journal of Agricultural and Food Chemistry",61,"2903-2912","Germany","EU","Cattle","Holstein",NA,240,NA,583,31,"IF","Y",2,"FIX",2,"CAEP",4,0.102,NA,"ug/mL",1
2,"Kowalczyk et. al",2013,"Absorption, Distribution, and Milk Secretion of the Perfluoroalkyl Acids PFBS, PFHxS, PFOS, and PFOA by Dairy Cows Fed Naturally Contaminated Feed","Journal of Agricultural and Food Chemistry",61,"2903-2912","Germany","EU","Cattle","Holstein",NA,240,NA,583,31,"IF","Y",2,"FIX",2,"CAEP",7,0.03,NA,"ug/mL",1
2,"Kowalczyk et. al",2013,"Absorption, Distribution, and Milk Secretion of the Perfluoroalkyl Acids PFBS, PFHxS, PFOS, and PFOA by Dairy Cows Fed Naturally Contaminated Feed","Journal of Agricultural and Food Chemistry",61,"2903-2912","Germany","EU","Cattle","Holstein",NA,240,NA,583,31,"IF","Y",2,"FIX",2,"CAEP",10,0.414,NA,"ug/mL",1
2,"Kowalczyk et. al",2013,"Absorption, Distribution, and Milk Secretion of the Perfluoroalkyl Acids PFBS, PFHxS, PFOS, and PFOA by Dairy Cows Fed Naturally Contaminated Feed","Journal of Agricultural and Food Chemistry",61,"2903-2912","Germany","EU","Cattle","Holstein",NA,240,NA,583,31,"IF","Y",2,"FIX",2,"CAEP",15,0.935,NA,"ug/mL",1
